week_id,academic_year,week_of_year,date,day_of_week
2021-2022-W01,2021-2022,1,2021-09-09,Thursday
2021-2022-W01,2021-2022,1,2021-09-10,Friday
2021-2022-W02,2021-2022,2,2021-09-13,Monday
2021-2022-W02,2021-2022,2,2021-09-14,Tuesday
2021-2022-W02,2021-2022,2,2021-09-15,Wednesday
2021-2022-W02,2021-2022,2,2021-09-16,Thursday
2021-2022-W02,2021-2022,2,2021-09-17,Friday
2021-2022-W03,2021-2022,3,2021-09-20,Monday
2021-2022-W03,2021-2022,3,2021-09-21,Tuesday
2021-2022-W03,2021-2022,3,2021-09-22,Wednesday
2021-2022-W03,2021-2022,3,2021-09-23,Thursday
2021-2022-W03,2021-2022,3,2021-09-24,Friday
2021-2022-W04,2021-2022,4,2021-09-27,Monday
2021-2022-W04,2021-2022,4,2021-09-28,Tuesday
2021-2022-W04,2021-2022,4,2021-09-29,Wednesday
2021-2022-W04,2021-2022,4,2021-09-30,Thursday
2021-2022-W04,2021-2022,4,2021-10-01,Friday
2021-2022-W05,2021-2022,5,2021-10-04,Monday
2021-2022-W05,2021-2022,5,2021-10-05,Tuesday
2021-2022-W05,2021-2022,5,2021-10-06,Wednesday
2021-2022-W05,2021-2022,5,2021-10-07,Thursday
2021-2022-W05,2021-2022,5,2021-10-08,Friday
2021-2022-W06,2021-2022,6,2021-10-11,Monday
2021-2022-W06,2021-2022,6,2021-10-12,Tuesday
2021-2022-W06,2021-2022,6,2021-10-13,Wednesday
2021-2022-W06,2021-2022,6,2021-10-14,Thursday
2021-2022-W06,2021-2022,6,2021-10-15,Friday
2021-2022-W07,2021-2022,7,2021-10-18,Monday
2021-2022-W07,2021-2022,7,2021-10-19,Tuesday
2021-2022-W07,2021-2022,7,2021-10-20,Wednesday
2021-2022-W07,2021-2022,7,2021-10-21,Thursday
2021-2022-W07,2021-2022,7,2021-10-22,Friday
2021-2022-W08,2021-2022,8,2021-10-25,Monday
2021-2022-W08,2021-2022,8,2021-10-26,Tuesday
2021-2022-W08,2021-2022,8,2021-10-27,Wednesday
2021-2022-W08,2021-2022,8,2021-10-28,Thursday
2021-2022-W08,2021-2022,8,2021-10-29,Friday
2021-2022-W09,2021-2022,9,2021-11-01,Monday
2021-2022-W09,2021-2022,9,2021-11-02,Tuesday
2021-2022-W09,2021-2022,9,2021-11-03,Wednesday
2021-2022-W09,2021-2022,9,2021-11-04,Thursday
2021-2022-W09,2021-2022,9,2021-11-05,Friday
2021-2022-W10,2021-2022,10,2021-11-08,Monday
2021-2022-W10,2021-2022,10,2021-11-09,Tuesday
2021-2022-W10,2021-2022,10,2021-11-10,Wednesday
2021-2022-W10,2021-2022,10,2021-11-11,Thursday
2021-2022-W10,2021-2022,10,2021-11-12,Friday
2021-2022-W11,2021-2022,11,2021-11-15,Monday
2021-2022-W11,2021-2022,11,2021-11-16,Tuesday
2021-2022-W11,2021-2022,11,2021-11-17,Wednesday
2021-2022-W11,2021-2022,11,2021-11-18,Thursday
2021-2022-W11,2021-2022,11,2021-11-19,Friday
2021-2022-W12,2021-2022,12,2021-11-22,Monday
2021-2022-W12,2021-2022,12,2021-11-23,Tuesday
2021-2022-W12,2021-2022,12,2021-11-24,Wednesday
2021-2022-W12,2021-2022,12,2021-11-25,Thursday
2021-2022-W12,2021-2022,12,2021-11-26,Friday
2021-2022-W13,2021-2022,13,2021-11-29,Monday
2021-2022-W13,2021-2022,13,2021-11-30,Tuesday
2021-2022-W13,2021-2022,13,2021-12-01,Wednesday
2021-2022-W13,2021-2022,13,2021-12-02,Thursday
2021-2022-W13,2021-2022,13,2021-12-03,Friday
2021-2022-W14,2021-2022,14,2021-12-06,Monday
2021-2022-W14,2021-2022,14,2021-12-07,Tuesday
2021-2022-W14,2021-2022,14,2021-12-08,Wednesday
2021-2022-W14,2021-2022,14,2021-12-09,Thursday
2021-2022-W14,2021-2022,14,2021-12-10,Friday
2021-2022-W15,2021-2022,15,2021-12-13,Monday
2021-2022-W15,2021-2022,15,2021-12-14,Tuesday
2021-2022-W15,2021-2022,15,2021-12-15,Wednesday
2021-2022-W15,2021-2022,15,2021-12-16,Thursday
2021-2022-W15,2021-2022,15,2021-12-17,Friday
2021-2022-W16,2021-2022,16,2021-12-20,Monday
2021-2022-W16,2021-2022,16,2021-12-21,Tuesday
2021-2022-W16,2021-2022,16,2021-12-22,Wednesday
2021-2022-W16,2021-2022,16,2021-12-23,Thursday
2021-2022-W16,2021-2022,16,2021-12-24,Friday
2021-2022-W17,2021-2022,17,2021-12-27,Monday
2021-2022-W17,2021-2022,17,2021-12-28,Tuesday
2021-2022-W17,2021-2022,17,2021-12-29,Wednesday
2021-2022-W17,2021-2022,17,2021-12-30,Thursday
2021-2022-W17,2021-2022,17,2021-12-31,Friday
2021-2022-W18,2021-2022,18,2022-01-03,Monday
2021-2022-W18,2021-2022,18,2022-01-04,Tuesday
